analyst,cbs_id,player_name_abbrev,position,bye_week,overall_rank,auction_value_dollar,source_url,pulled_date
CBS Consensus,2139279,T. McLaurin,WR,7,49,9,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26693770,B. Irving,RB,10,50,8,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26695757,D. Maye,QB,11,51,9,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3168800,T. Warren,TE,13,52,8,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26697012,C. Skattebo,RB,8,53,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26732838,B. Tuten,RB,7,54,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3125968,J. Williams,WR,6,55,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3168820,P. Washington,WR,7,56,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2261252,D. Montgomery,RB,8,57,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28875230,J. Price,RB,11,58,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3125832,R. Stevenson,RB,11,59,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162979,R. Odunze,WR,10,60,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2869806,C. Watson,WR,11,61,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3124197,S. LaPorta,TE,6,62,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2179798,J. Burrow,QB,6,63,9,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26701883,M. Harrison Jr.,WR,14,64,5,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162514,M. Lloyd,RB,11,65,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3133332,T. Kraft,TE,11,66,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2964514,K. Pitts,TE,11,67,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
